DATO:,GEBYRER:,TERMINBELOP:,RENTER:,AVDRAG:,RESTBELOP:
Wed Jan 01 2020 01:00:00 GMT+0100 (GMT+01:00),0,0,0,0,10000000
Sat Feb 01 2020 01:00:00 GMT+0100 (GMT+01:00),30,90172.73600904466,61407.10382513661,28735.632183908045,9971264.367816092
Sun Mar 01 2020 01:00:00 GMT+0100 (GMT+01:00),30,86045.91451541988,57280.28233151184,28735.632183908045,9942528.735632185
Wed Apr 01 2020 02:00:00 GMT+0200 (GMT+02:00),30,89819.82161924502,61054.18943533698,28735.632183908045,9913793.103448277
Fri May 01 2020 02:00:00 GMT+0200 (GMT+02:00),30,87679.56661013755,58913.934426229505,28735.632183908045,9885057.47126437
Mon Jun 01 2020 02:00:00 GMT+0200 (GMT+02:00),30,89466.9072294454,60701.275045537346,28735.632183908045,9856321.839080462
Wed Jul 01 2020 02:00:00 GMT+0200 (GMT+02:00),30,87338.03655549276,58572.404371584715,28735.632183908045,9827586.206896555
Sat Aug 01 2020 02:00:00 GMT+0200 (GMT+02:00),30,89113.99283964575,60348.36065573771,28735.632183908045,9798850.574712647
Tue Sep 01 2020 02:00:00 GMT+0200 (GMT+02:00),30,88937.53564474595,60171.9034608379,28735.632183908045,9770114.94252874
Thu Oct 01 2020 02:00:00 GMT+0200 (GMT+02:00),30,86825.74147352554,58060.1092896175,28735.632183908045,9741379.310344832
Sun Nov 01 2020 01:00:00 GMT+0100 (GMT+01:00),30,88584.62125494631,59818.98907103827,28735.632183908045,9712643.678160924
Tue Dec 01 2020 01:00:00 GMT+0100 (GMT+01:00),30,86484.21141888075,57718.579234972705,28735.632183908045,9683908.045977017
Fri Jan 01 2021 01:00:00 GMT+0100 (GMT+01:00),30,88231.7068651467,59466.07468123865,28735.632183908045,9655172.41379311
Mon Feb 01 2021 01:00:00 GMT+0100 (GMT+01:00),30,88217.68697842862,59452.054794520576,28735.632183908045,9626436.781609202
Mon Mar 01 2021 01:00:00 GMT+0100 (GMT+01:00),30,82304.44496929621,53538.81278538816,28735.632183908045,9597701.149425294
Thu Apr 01 2021 02:00:00 GMT+0200 (GMT+02:00),30,87863.80569988982,59098.173515981776,28735.632183908045,9568965.517241387
Sat May 01 2021 02:00:00 GMT+0200 (GMT+02:00),30,85786.18012911356,57020.547945205515,28735.632183908045,9540229.88505748
Tue Jun 01 2021 02:00:00 GMT+0200 (GMT+02:00),30,87509.92442135101,58744.29223744297,28735.632183908045,9511494.252873572
Thu Jul 01 2021 02:00:00 GMT+0200 (GMT+02:00),30,85443.71437568891,56678.082191780864,28735.632183908045,9482758.620689664
Sun Aug 01 2021 02:00:00 GMT+0200 (GMT+02:00),30,87156.04314281221,58390.41095890416,28735.632183908045,9454022.988505756
Wed Sep 01 2021 02:00:00 GMT+0200 (GMT+02:00),30,86979.1025035428,58213.47031963476,28735.632183908045,9425287.356321849
Fri Oct 01 2021 02:00:00 GMT+0200 (GMT+02:00),30,84930.01574555194,56164.38356164389,28735.632183908045,9396551.724137941
Mon Nov 01 2021 01:00:00 GMT+0100 (GMT+01:00),30,86625.22122500399,57859.58904109595,28735.632183908045,9367816.091954034
Wed Dec 01 2021 01:00:00 GMT+0100 (GMT+01:00),30,84587.54999212729,55821.91780821924,28735.632183908045,9339080.459770126
Sat Jan 01 2022 01:00:00 GMT+0100 (GMT+01:00),30,86271.33994646519,57505.70776255714,28735.632183908045,9310344.827586219
Tue Feb 01 2022 01:00:00 GMT+0100 (GMT+01:00),30,86094.39930719578,57328.76712328774,28735.632183908045,9281609.195402311
Tue Mar 01 2022 01:00:00 GMT+0100 (GMT+01:00),30,80386.63675011817,51621.00456621012,28735.632183908045,9252873.563218404
Fri Apr 01 2022 02:00:00 GMT+0200 (GMT+02:00),30,85740.51802865698,56974.88584474893,28735.632183908045,9224137.931034496
Sun May 01 2022 02:00:00 GMT+0200 (GMT+02:00),30,83731.38560856566,54965.75342465761,28735.632183908045,9195402.298850589
Wed Jun 01 2022 02:00:00 GMT+0200 (GMT+02:00),30,85386.63675011818,56621.00456621013,28735.632183908045,9166666.666666681
Fri Jul 01 2022 02:00:00 GMT+0200 (GMT+02:00),30,83388.919855141,54623.28767123295,28735.632183908045,9137931.034482773
Mon Aug 01 2022 02:00:00 GMT+0200 (GMT+02:00),30,85032.75547157937,56267.12328767132,28735.632183908045,9109195.402298866
Thu Sep 01 2022 02:00:00 GMT+0200 (GMT+02:00),30,84855.81483230996,56090.18264840191,28735.632183908045,9080459.770114958
Sat Oct 01 2022 02:00:00 GMT+0200 (GMT+02:00),30,82875.22122500403,54109.589041095984,28735.632183908045,9051724.13793105
Tue Nov 01 2022 01:00:00 GMT+0100 (GMT+01:00),30,84501.93355377116,55736.30136986312,28735.632183908045,9022988.505747143
Thu Dec 01 2022 01:00:00 GMT+0100 (GMT+01:00),30,82532.75547157937,53767.123287671326,28735.632183908045,8994252.873563236
Sun Jan 01 2023 01:00:00 GMT+0100 (GMT+01:00),30,84148.05227523234,55382.4200913243,28735.632183908045,8965517.241379328
Wed Feb 01 2023 01:00:00 GMT+0100 (GMT+01:00),30,83971.11163596295,55205.479452054904,28735.632183908045,8936781.60919542
Wed Mar 01 2023 01:00:00 GMT+0100 (GMT+01:00),30,78468.8285309401,49703.196347032055,28735.632183908045,8908045.977011513
Sat Apr 01 2023 02:00:00 GMT+0200 (GMT+02:00),30,83617.23035742414,54851.5981735161,28735.632183908045,8879310.344827605
Mon May 01 2023 02:00:00 GMT+0200 (GMT+02:00),30,81676.59108801775,52910.958904109706,28735.632183908045,8850574.712643698
Thu Jun 01 2023 02:00:00 GMT+0200 (GMT+02:00),30,83263.34907888534,54497.71689497729,28735.632183908045,8821839.08045979
Sat Jul 01 2023 02:00:00 GMT+0200 (GMT+02:00),30,81334.12533459309,52568.49315068505,28735.632183908045,8793103.448275883
Tue Aug 01 2023 02:00:00 GMT+0200 (GMT+02:00),30,82909.46780034652,54143.83561643848,28735.632183908045,8764367.816091975
Fri Sep 01 2023 02:00:00 GMT+0200 (GMT+02:00),30,82732.52716107712,53966.894977169075,28735.632183908045,8735632.183908068
Sun Oct 01 2023 02:00:00 GMT+0200 (GMT+02:00),30,80820.42670445611,52054.79452054807,28735.632183908045,8706896.55172416
Wed Nov 01 2023 01:00:00 GMT+0100 (GMT+01:00),30,82378.64588253832,53613.01369863027,28735.632183908045,8678160.919540253
Fri Dec 01 2023 01:00:00 GMT+0100 (GMT+01:00),30,80477.96095103146,51712.32876712342,28735.632183908045,8649425.287356345
Mon Jan 01 2024 01:00:00 GMT+0100 (GMT+01:00),30,82024.7646039995,53259.13242009146,28735.632183908045,8620689.655172437
